zone_label,mgmt_area,rms_well,area_acres,sy,sy_source,baseline_year,baseline_gwe,endpoint_year,endpoint_gwe,dgwe_endpoint_minus_baseline_ft,cumulative_storage_endpoint_AF,avg_rate_AF_per_yr,hold_steady_need_AF_per_yr,project_AF_per_yr,project_name,coverage_net_AF_per_yr
13N01W07G001M,Other,13N01W07G001M,10010.5,0.1,uniform 0.10,1999,46.87,2025,17.28,-29.59,-29620,-1139,1139,0,,-1139
14N02W29J001M,CCWD,14N02W29J001M,8818.8,0.1,uniform 0.10,1999,97.30,2015,18.00,-79.30,-69933,-4371,4371,0,,-4371
13N01E11A001M,RD108,13N01E11A001M,5596.2,0.1,uniform 0.10,1999,28.79,2025,28.50,-0.29,-162,-6,6,0,,-6
14N02W13N001M,Other,14N02W13N001M,10731.9,0.1,uniform 0.10,2000,38.45,2025,28.95,-9.50,-10195,-408,408,0,,-408
15N01W05G001M,Other,15N01W05G001M,20104.8,0.1,uniform 0.10,1999,35.62,2025,43.52,+7.90,15883,611,0,0,,+0
15N02W19E001M,Other,15N02W19E001M,24364.5,0.1,uniform 0.10,1999,79.96,2025,72.11,-7.85,-19126,-736,736,0,,-736
14N01E35P003M,RD108,14N01E35P003M,11563.0,0.1,uniform 0.10,2011,32.41,2025,32.90,+0.48,558,40,0,0,,+0
13N01W13P003M,RD108,13N01W13P003M,14279.9,0.1,uniform 0.10,1999,29.93,2025,19.90,-10.03,-14327,-551,551,0,,-551
12N01E06D004M,RD108,12N01E06D004M,15169.5,0.1,uniform 0.10,1999,29.29,2025,16.84,-12.45,-18886,-726,726,0,,-726
14N02W22A005M,Other,14N02W22A005M,6830.3,0.1,uniform 0.10,2020,22.28,2025,21.14,-1.14,-779,-156,156,0,,-156
14N03W14Q003M,Other,14N03W14Q003M,8614.8,0.1,uniform 0.10,2001,54.22,2022,-16.88,-71.10,-61251,-2917,2917,0,,-2917
14N01W04K003M,Other,14N01W04K003M,26918.6,0.1,uniform 0.10,1999,31.93,2022,27.93,-4.00,-10767,-468,468,0,,-468
13N02W20H002M,CCWD,13N02W20H002M,9617.2,0.1,uniform 0.10,2007,207.48,2025,179.88,-27.60,-26543,-1475,1475,0,,-1475
13N02W12L001M,CCWD,13N02W12L001M,4180.6,0.1,uniform 0.10,2000,69.59,2025,17.79,-51.80,-21656,-866,866,0,,-866
13N01W22P002M,CCWD,13N01W22P002M,6030.6,0.1,uniform 0.10,2000,29.96,2008,39.06,+9.10,5488,686,0,0,,+0
14N03W24C001M,CCWD,14N03W24C001M,6994.1,0.1,uniform 0.10,2000,84.91,2020,36.31,-48.60,-33991,-1700,1700,0,,-1700
13N02W15J001M,CCWD,13N02W15J001M,6249.7,0.1,uniform 0.10,1999,103.32,2014,46.92,-56.40,-35248,-2350,2350,0,,-2350
12N01W05B001M,Dunnigan,12N01W05B001M,13239.9,0.1,uniform 0.10,1999,60.60,2025,19.54,-41.06,-54362,-2091,2091,0,,-2091
11N01E16P001M,Other,11N01E16P001M,12827.9,0.1,uniform 0.10,1999,28.00,2025,14.13,-13.87,-17790,-684,684,0,,-684
11N02E20K004M,Other,11N02E20K004M,15502.3,0.1,uniform 0.10,1999,33.47,2025,27.83,-5.64,-8743,-336,336,0,,-336
10N02E09N001M,Other,10N02E09N001M,1357.7,0.1,uniform 0.10,2002,34.90,2025,35.16,+0.26,35,2,0,0,,+0
12N01E26A002M,RD108,12N01E26A002M,10089.0,0.1,uniform 0.10,1999,25.05,2021,5.58,-19.47,-19643,-893,893,0,,-893
11N01E02D001M,RD108,11N01E02D001M,10867.1,0.1,uniform 0.10,1999,23.26,2023,10.41,-12.85,-13963,-582,582,0,,-582
10N02E06B001M,Other,10N02E06B001M,4744.1,0.1,uniform 0.10,2001,38.09,2025,32.18,-5.91,-2804,-117,117,0,,-117
10N02E03R002M,Other,10N02E03R002M,16978.8,0.1,uniform 0.10,2001,27.18,2025,24.98,-2.20,-3735,-156,156,0,,-156
12N01E03R002M,RD108,12N01E03R002M,9644.0,0.1,uniform 0.10,2001,21.90,2024,22.90,+1.00,964,42,0,0,,+0
10N01E02Q002M,Other,10N01E02Q002M,5632.1,0.1,uniform 0.10,2001,42.41,2025,40.26,-2.15,-1211,-50,50,0,,-50
